zone,xT,direct_goal_prob,loss_prob,events_from_zone
Box_C,0.17474969784362154,0.11174785100286533,0.4383954154727794,698
Box_R,0.04829265793660356,0.000925925925925926,0.22962962962962963,1080
Box_L,0.047219973018771316,0.0,0.2374429223744292,1095
AC,0.046585058006243414,0.0034469551895825352,0.16583684412102642,2611
AL,0.034748372176786675,0.0,0.07869703084462382,3469
AR,0.034313725113491976,0.0006091989034419738,0.08498324703015535,3283
MC,0.02575940285845816,0.0,0.05228942905596382,7076
ML,0.025026522870179937,0.0,0.04792496466658101,7783
MR,0.02413737129139889,0.0,0.05309851694915254,7552
DC,0.01810985017346162,0.0,0.07536810581482406,4007
DR,0.017877807467379353,0.0,0.07266881028938907,3110
DL,0.017866439740516115,0.0,0.0823202500868357,2879
